1982	585433
1983	1654863
1984	2147205
1985	5622638
1986	9766948
1987	16023478
1988	24211054
1989	34748087
1990	52900354
1991	75400487
1992	111413979
1993	158171400
1994	226259607
1995	427966935
1996	696183789
1997	1281391651
1998	2165000000
1999	4880564738
2000	11140130743
2001	16224942767
2002	35321207041
2003	52339171975
2004	74203884933
2005	82084985038
2006	150660177325
2007	191443823631
2008	241450854842
2009	246661404752
